target_coverage,result_dir,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
0.52,runs\e3_iwildcam\policy_grid_52,fixed,0.3781168937393377,0.6923418475847725,0.014091748264822,0.0372682323856613,0.6218831062606622,42791
0.52,runs\e3_iwildcam\policy_grid_52,uaat_monotone,0.4197144259306863,0.7155944006917342,0.0270617653244841,0.0644766146993318,0.5802855740693136,42791
0.53,runs\e3_iwildcam\policy_grid_53,fixed,0.38519782197191,0.6930896683882124,0.0156574980720244,0.0406479403021294,0.61480217802809,42791
0.53,runs\e3_iwildcam\policy_grid_53,uncertainty_grid,0.3845434787689,0.69432824659391,0.0157743450725619,0.0410209662716499,0.6154565212311001,42791
0.53,runs\e3_iwildcam\policy_grid_53,uaat_monotone,0.4234768993479937,0.7179079713023766,0.028276974130074,0.0667733568787594,0.5765231006520062,42791
0.54,runs\e3_iwildcam\policy_grid_54,fixed,0.3908298473978173,0.6955200859993923,0.0172699866794419,0.0441879933030375,0.6091701526021827,42791
0.54,runs\e3_iwildcam\policy_grid_54,uncertainty_grid,0.3908298473978173,0.6955200859993923,0.0172699866794419,0.0441879933030375,0.6091701526021827,42791
0.54,runs\e3_iwildcam\policy_grid_54,uaat_monotone,0.4280339323689561,0.7232829333271015,0.0302633731392115,0.0707032103079274,0.5719660676310439,42791
0.55,runs\e3_iwildcam\policy_grid_55,uncertainty_grid,0.3968357832254446,0.6979271342104649,0.0189525834871818,0.0477592603498027,0.6031642167745555,42791
0.55,runs\e3_iwildcam\policy_grid_55,fixed,0.3962515482227571,0.6982776752120773,0.0189058446869668,0.0477117244633168,0.6037484517772429,42791
0.55,runs\e3_iwildcam\policy_grid_55,uaat_monotone,0.4322170549881984,0.7294991937556963,0.0323432497487789,0.074831035414977,0.5677829450118015,42791
0.56,runs\e3_iwildcam\policy_grid_56,fixed,0.4021172676497394,0.7008249398237947,0.0205884414947068,0.0512000929854129,0.5978827323502606,42791
0.56,runs\e3_iwildcam\policy_grid_56,uncertainty_grid,0.4021172676497394,0.7008249398237947,0.0205884414947068,0.0512000929854129,0.5978827323502606,42791
0.56,runs\e3_iwildcam\policy_grid_56,uaat_monotone,0.4363534388072258,0.7343600289780561,0.0341426935570563,0.078245501285347,0.5636465611927741,42791
0.57,runs\e3_iwildcam\policy_grid_57,uncertainty_grid,0.4091047182818817,0.7050548012432521,0.0228319039050267,0.0558094367645378,0.5908952817181183,42791
0.57,runs\e3_iwildcam\policy_grid_57,fixed,0.4090579794816667,0.7051015400434671,0.0228319039050267,0.0558158135283363,0.5909420205183333,42791
0.57,runs\e3_iwildcam\policy_grid_57,uaat_monotone,0.4405131920263607,0.738379565796546,0.0357785515645813,0.0812201591511936,0.5594868079736393,42791
0.58,runs\e3_iwildcam\policy_grid_58,fixed,0.414643266107359,0.7094482484634619,0.0248183029141641,0.0598545905427492,0.585356733892641,42791
0.58,runs\e3_iwildcam\policy_grid_58,uncertainty_grid,0.414643266107359,0.7094482484634619,0.0248183029141641,0.0598545905427492,0.585356733892641,42791
0.58,runs\e3_iwildcam\policy_grid_58,uaat_monotone,0.4450935944474305,0.7436143114206257,0.0377415811736112,0.0847947075501417,0.5549064055525694,42791
0.59,runs\e3_iwildcam\policy_grid_59,uncertainty_grid,0.4200649669322988,0.7141922366852842,0.0268514407235166,0.0639221140472879,0.5799350330677011,42791
0.59,runs\e3_iwildcam\policy_grid_59,fixed,0.4199013811315463,0.7144726694865742,0.0268748101236241,0.0640026714158504,0.5800986188684536,42791
0.59,runs\e3_iwildcam\policy_grid_59,uaat_monotone,0.4494636722675328,0.7480077586408357,0.0394942861816737,0.0878698071023761,0.5505363277324671,42791
0.6,runs\e3_iwildcam\policy_grid_60,fixed,0.4268420929634736,0.7208525157159216,0.029538921735879,0.0692033944702983,0.5731579070365264,42791
0.6,runs\e3_iwildcam\policy_grid_60,uncertainty_grid,0.4267953541632586,0.7208992545161366,0.029538921735879,0.0692109730055303,0.5732046458367414,42791
0.6,runs\e3_iwildcam\policy_grid_60,uaat_monotone,0.4547451566918277,0.7547615152719029,0.0419013343927461,0.0921424533634821,0.5452548433081723,42791
0.61,runs\e3_iwildcam\policy_grid_61,fixed,0.4325675959898109,0.7279801827487088,0.0321095557477039,0.0742301458670988,0.567432404010189,42791
0.61,runs\e3_iwildcam\policy_grid_61,uncertainty_grid,0.4325675959898109,0.7279801827487088,0.0321095557477039,0.0742301458670988,0.567432404010189,42791
0.61,runs\e3_iwildcam\policy_grid_61,uaat_monotone,0.4589983875113926,0.7593886564931879,0.043677408800916,0.0951580876737437,0.5410016124886075,42791
