uaat_target,baseline,baseline_target,uaat_coverage,baseline_coverage,coverage_gap,uaat_risk,baseline_risk,risk_delta_baseline_minus_uaat,risk_reduction_pct,uaat_wrong_auto_rate,baseline_wrong_auto_rate,wrong_auto_delta,uaat_auto_error_rate,baseline_auto_error_rate,uaat_defer_rate,baseline_defer_rate,n
0.45,uncertainty_grid,0.4,0.3676236044657097,0.4521531100478468,0.08452950558213712,2.2033492822966507,2.6770334928229667,0.47368421052631593,17.69436997319035,0.157097288676236,0.2129186602870813,0.0558213716108453,0.4273318872017353,0.4708994708994709,0.6323763955342903,0.5478468899521531,1254
0.46,fixed,0.4,0.416267942583732,0.4521531100478468,0.0358851674641148,2.537480063795853,2.6770334928229667,0.13955342902711365,5.2129877867143435,0.1953748006379585,0.2129186602870813,0.017543859649122806,0.4693486590038314,0.4708994708994709,0.5837320574162679,0.5478468899521531,1254
0.46,uncertainty_grid,0.4,0.416267942583732,0.4521531100478468,0.0358851674641148,2.537480063795853,2.6770334928229667,0.13955342902711365,5.2129877867143435,0.1953748006379585,0.2129186602870813,0.017543859649122806,0.4693486590038314,0.4708994708994709,0.5837320574162679,0.5478468899521531,1254
0.47,fixed,0.4,0.4114832535885167,0.4521531100478468,0.040669856459330134,2.470494417862839,2.6770334928229667,0.2065390749601277,7.715221924337209,0.1881977671451355,0.2129186602870813,0.02472089314194581,0.4573643410852713,0.4708994708994709,0.5885167464114833,0.5478468899521531,1254
0.47,uncertainty_grid,0.4,0.4114832535885167,0.4521531100478468,0.040669856459330134,2.470494417862839,2.6770334928229667,0.2065390749601277,7.715221924337209,0.1881977671451355,0.2129186602870813,0.02472089314194581,0.4573643410852713,0.4708994708994709,0.5885167464114833,0.5478468899521531,1254
0.48,fixed,0.4,0.4553429027113237,0.4521531100478468,0.003189792663476909,2.769537480063796,2.6770334928229667,-0.09250398724082931,-3.455466190050639,0.2224880382775119,0.2129186602870813,-0.009569377990430589,0.4886164623467601,0.4708994708994709,0.5446570972886762,0.5478468899521531,1254
0.48,uncertainty_grid,0.4,0.4553429027113237,0.4521531100478468,0.003189792663476909,2.769537480063796,2.6770334928229667,-0.09250398724082931,-3.455466190050639,0.2224880382775119,0.2129186602870813,-0.009569377990430589,0.4886164623467601,0.4708994708994709,0.5446570972886762,0.5478468899521531,1254
0.49,fixed,0.41,0.4609250398724083,0.4617224880382775,0.0007974481658691857,2.7559808612440198,2.699362041467305,-0.05661881977671479,-2.0974889217134516,0.2216905901116427,0.2161084529505582,-0.005582137161084494,0.4809688581314879,0.4680483592400691,0.5390749601275917,0.5382775119617225,1254
0.49,uncertainty_grid,0.41,0.4609250398724083,0.4617224880382775,0.0007974481658691857,2.7559808612440198,2.699362041467305,-0.05661881977671479,-2.0974889217134516,0.2216905901116427,0.2161084529505582,-0.005582137161084494,0.4809688581314879,0.4680483592400691,0.5390749601275917,0.5382775119617225,1254
0.5,fixed,0.42,0.4681020733652312,0.4696969696969697,0.0015948963317385378,2.7966507177033493,2.7312599681020733,-0.065390749601276,-2.394160583941609,0.226475279106858,0.2200956937799043,-0.006379585326953707,0.4838160136286201,0.4685908319185059,0.5318979266347688,0.5303030303030303,1254
0.5,uncertainty_grid,0.42,0.4681020733652312,0.4696969696969697,0.0015948963317385378,2.7966507177033493,2.7312599681020733,-0.065390749601276,-2.394160583941609,0.226475279106858,0.2200956937799043,-0.006379585326953707,0.4838160136286201,0.4685908319185059,0.5318979266347688,0.5303030303030303,1254
0.51,fixed,0.43,0.4792663476874003,0.4840510366826156,0.004784688995215336,2.8572567783094103,2.8046251993620417,-0.052631578947368585,-1.8765993744668807,0.233652312599681,0.2288676236044657,-0.004784688995215308,0.4875207986688852,0.4728171334431631,0.5207336523125996,0.5159489633173844,1254
0.51,uncertainty_grid,0.43,0.4792663476874003,0.4840510366826156,0.004784688995215336,2.8572567783094103,2.8046251993620417,-0.052631578947368585,-1.8765993744668807,0.233652312599681,0.2288676236044657,-0.004784688995215308,0.4875207986688852,0.4728171334431631,0.5207336523125996,0.5159489633173844,1254
0.52,fixed,0.43,0.4840510366826156,0.4840510366826156,0.0,2.8684210526315788,2.8046251993620417,-0.06379585326953707,-2.2746659084446823,0.2352472089314194,0.2288676236044657,-0.006379585326953707,0.485996705107084,0.4728171334431631,0.5159489633173844,0.5159489633173844,1254
0.52,uncertainty_grid,0.43,0.4840510366826156,0.4840510366826156,0.0,2.8684210526315788,2.8046251993620417,-0.06379585326953707,-2.2746659084446823,0.2352472089314194,0.2288676236044657,-0.006379585326953707,0.485996705107084,0.4728171334431631,0.5159489633173844,0.5159489633173844,1254
0.53,fixed,0.43,0.4864433811802233,0.4840510366826156,0.002392344497607668,2.8819776714513554,2.8046251993620417,-0.07735247208931373,-2.7580324139891785,0.2368421052631578,0.2288676236044657,-0.007974481658692106,0.4868852459016393,0.4728171334431631,0.5135566188197767,0.5159489633173844,1254
0.53,uncertainty_grid,0.43,0.4864433811802233,0.4840510366826156,0.002392344497607668,2.8819776714513554,2.8046251993620417,-0.07735247208931373,-2.7580324139891785,0.2368421052631578,0.2288676236044657,-0.007974481658692106,0.4868852459016393,0.4728171334431631,0.5135566188197767,0.5159489633173844,1254
0.54,fixed,0.43,0.4904306220095694,0.4840510366826156,0.006379585326953763,2.9098883572567784,2.8046251993620417,-0.10526315789473673,-3.7531987489337464,0.2400318979266347,0.2288676236044657,-0.011164274322169015,0.4894308943089431,0.4728171334431631,0.5095693779904307,0.5159489633173844,1254
0.54,uncertainty_grid,0.43,0.4904306220095694,0.4840510366826156,0.006379585326953763,2.9098883572567784,2.8046251993620417,-0.10526315789473673,-3.7531987489337464,0.2400318979266347,0.2288676236044657,-0.011164274322169015,0.4894308943089431,0.4728171334431631,0.5095693779904307,0.5159489633173844,1254
0.55,fixed,0.45,0.5063795853269537,0.5015948963317385,0.004784688995215225,2.9896331738437,2.8668261562998403,-0.12280701754385959,-4.283727399165506,0.2496012759170653,0.2368421052631578,-0.012759170653907498,0.4929133858267716,0.4721780604133545,0.4936204146730463,0.4984051036682615,1254
0.55,uncertainty_grid,0.45,0.5063795853269537,0.5015948963317385,0.004784688995215225,2.9896331738437,2.8668261562998403,-0.12280701754385959,-4.283727399165506,0.2496012759170653,0.2368421052631578,-0.012759170653907498,0.4929133858267716,0.4721780604133545,0.4936204146730463,0.4984051036682615,1254
