cost_ratio,c_wrong,c_defer,target_coverage,policy,coverage_mean,coverage_std,risk_mean,risk_std,wrong_auto_rate_mean,wrong_auto_rate_std,auto_error_rate_mean,auto_error_rate_std,defer_rate_mean,defer_rate_std,n_mean,n_std
2:1,2,1,0.6,fixed,0.5997758771929824,0.0016817026627197389,0.5107644736842105,0.0004868296584468346,0.05527017543859647,0.0005985270663243244,0.09214999890639926,0.0007400992325118546,0.4002241228070175,0.0016817026627196944,760000.0,0.0
2:1,2,1,0.6,uaat_monotone,0.6288013157894737,0.0010778709328683452,0.48754254385964907,0.0004124875834052926,0.0581719298245614,0.00033279417384053043,0.0925119937560984,0.00037084670987073677,0.3711986842105263,0.0010778709328683612,760000.0,0.0
2:1,2,1,0.6,uncertainty_grid,0.5996100877192982,0.0019080985976990105,0.5103171052631579,0.0005692975698100824,0.054963596491228,0.0006731614611100925,0.09166380363985767,0.0008318740143333825,0.40038991228070175,0.0019080985976990148,760000.0,0.0
2:1,2,1,0.7,fixed,0.7005149122807017,0.0008468271535975988,0.491409649122807,0.00029473782111368415,0.09596228070175433,0.00027610999019434885,0.13698802132991472,0.00022847585966631766,0.2994850877192982,0.0008468271535976039,760000.0,0.0
2:1,2,1,0.7,uaat_monotone,0.7084298245614035,0.0011333785669371578,0.47379298245614027,0.00019783424560728934,0.0911114035087719,0.0004818185579728145,0.1286098419913442,0.00047535398082024796,0.2915701754385964,0.001133378566937196,760000.0,0.0
2:1,2,1,0.7,uncertainty_grid,0.7004929824561404,0.0009300773406814674,0.49115526315789476,0.00030003462404072217,0.09582412280701746,0.0003271062511452707,0.13679501682873962,0.00028849689374017395,0.2995070175438596,0.0009300773406814354,760000.0,0.0
2:1,2,1,0.8,fixed,0.8002881578947368,0.0007060911773223907,0.4939118421052631,0.0004722254585010244,0.14709999999999993,0.00040608256191493905,0.18380864466177585,0.0003865590347282882,0.19971184210526313,0.0007060911773223638,760000.0,0.0
2:1,2,1,0.8,uaat_monotone,0.7995561403508772,0.0009389467906732899,0.4763657894736842,5.7308636158891144e-05,0.1379609649122807,0.0004929670425885303,0.1725466154817764,0.00041431602797220205,0.20044385964912279,0.0009389467906732933,760000.0,0.0
2:1,2,1,0.8,uncertainty_grid,0.8002092105263158,0.0006032905498469386,0.4939267543859649,0.00032672494863277327,0.1470679824561403,0.00027398873914493994,0.18378683993486392,0.00023744840247990072,0.19979078947368414,0.0006032905498469202,760000.0,0.0
2:1,2,1,0.9,fixed,0.9002149122807017,0.0009092060832145532,0.5144771929824561,0.00020782116175295675,0.2073460526315789,0.0004979650417704893,0.23032929366892138,0.0003283695885531193,0.09978508771929821,0.000909206083214632,760000.0,0.0
