cost_ratio,c_wrong,c_defer,target_coverage,policy,coverage_mean,coverage_std,risk_mean,risk_std,wrong_auto_rate_mean,wrong_auto_rate_std,auto_error_rate_mean,auto_error_rate_std,defer_rate_mean,defer_rate_std,n_mean,n_std
2:1,2,1,0.6,uncertainty_grid,0.6169082125603865,0.011257178935005916,1.1178743961352657,0.006535144569308508,0.3673913043478261,0.008785764965929074,0.5954964481166883,0.0036833819546106435,0.38309178743961353,0.011257178935005885,1380.0,0.0
2:1,2,1,0.7,fixed,0.7094202898550724,0.013882060913527608,1.1939613526570048,0.009457377753841631,0.4516908212560386,0.011646921208928653,0.6366522325500868,0.004061848501506699,0.2905797101449275,0.01388206091352757,1380.0,0.0
2:1,2,1,0.7,uaat_monotone,0.6471014492753623,0.014797520185987094,1.128743961352657,0.017754855522644594,0.3879227053140097,0.016078685256659526,0.5993142221413801,0.011558446033307787,0.35289855072463766,0.014797520185987043,1380.0,0.0
2:1,2,1,0.7,uncertainty_grid,0.7094202898550724,0.013882060913527608,1.1939613526570048,0.009457377753841631,0.4516908212560386,0.011646921208928653,0.6366522325500868,0.004061848501506699,0.2905797101449275,0.01388206091352757,1380.0,0.0
2:1,2,1,0.8,fixed,0.8181159420289855,0.018882339450428057,1.277536231884058,0.017586465361610938,0.5478260869565217,0.018231515399143666,0.6695126561811641,0.006931391589944605,0.18188405797101445,0.01888233945042805,1380.0,0.0
2:1,2,1,0.8,uaat_monotone,0.7256038647342994,0.010509328462708753,1.1975845410628019,0.009731032405064647,0.4615942028985507,0.00958605547487168,0.6361197578319374,0.005235248569846527,0.2743961352657005,0.010509328462708746,1380.0,0.0
2:1,2,1,0.8,uncertainty_grid,0.8181159420289855,0.018882339450428057,1.277536231884058,0.017586465361610938,0.5478260869565217,0.018231515399143666,0.6695126561811641,0.006931391589944605,0.18188405797101445,0.01888233945042805,1380.0,0.0
2:1,2,1,0.9,fixed,0.9214975845410628,0.009457377753841457,1.3794685990338165,0.009457377753841631,0.6504830917874397,0.009457377753841529,0.7058770857252625,0.0030234521352680782,0.07850241545893717,0.009457377753841489,1380.0,0.0
2:1,2,1,0.9,uaat_monotone,0.8340579710144927,0.008904496903945293,1.2925120772946859,0.008080062166027913,0.5632850241545894,0.00849197866243818,0.6753335022177979,0.002988170338622573,0.16594202898550725,0.008904496903945269,1380.0,0.0
2:1,2,1,0.9,uncertainty_grid,0.9214975845410628,0.009457377753841457,1.3794685990338165,0.009457377753841631,0.6504830917874397,0.009457377753841529,0.7058770857252625,0.0030234521352680782,0.07850241545893717,0.009457377753841489,1380.0,0.0
5:1,5,1,0.6,fixed,0.6169082125603865,0.011257178935005916,2.220048309178744,0.03278001160067644,0.3673913043478261,0.008785764965929074,0.5954964481166883,0.0036833819546106435,0.38309178743961353,0.011257178935005885,1380.0,0.0
5:1,5,1,0.6,uaat_monotone,0.5016908212560387,0.03266768684457348,1.8147342995169085,0.09166690534806926,0.2632850241545894,0.024863979193155146,0.5241351109933609,0.015317837750512335,0.4983091787439613,0.03266768684457347,1380.0,0.0
5:1,5,1,0.6,uncertainty_grid,0.6169082125603865,0.011257178935005916,2.220048309178744,0.03278001160067644,0.3673913043478261,0.008785764965929074,0.5954964481166883,0.0036833819546106435,0.38309178743961353,0.011257178935005885,1380.0,0.0
5:1,5,1,0.7,fixed,0.7094202898550724,0.013882060913527608,2.5490338164251205,0.04437678635099332,0.4516908212560386,0.011646921208928653,0.6366522325500868,0.004061848501506699,0.2905797101449275,0.01388206091352757,1380.0,0.0
5:1,5,1,0.7,uaat_monotone,0.5760869565217391,0.02615731253301454,2.036231884057971,0.08723686692838495,0.32246376811594196,0.022603585449974224,0.5593539055304716,0.014256509827111751,0.4239130434782608,0.026157312533014572,1380.0,0.0
5:1,5,1,0.7,uncertainty_grid,0.7094202898550724,0.013882060913527608,2.5490338164251205,0.04437678635099332,0.4516908212560386,0.011646921208928653,0.6366522325500868,0.004061848501506699,0.2905797101449275,0.01388206091352757,1380.0,0.0
5:1,5,1,0.8,fixed,0.8181159420289855,0.018882339450428057,2.921014492753623,0.07227874930672376,0.5478260869565217,0.018231515399143666,0.6695126561811641,0.006931391589944605,0.18188405797101445,0.01888233945042805,1380.0,0.0
5:1,5,1,0.8,uaat_monotone,0.6719806763285024,0.013640394109657476,2.371497584541063,0.053566035608699485,0.40869565217391296,0.013420477664820381,0.6080950216584708,0.007760149277148352,0.32801932367149755,0.013640394109657497,1380.0,0.0
5:1,5,1,0.8,uncertainty_grid,0.8181159420289855,0.018882339450428057,2.921014492753623,0.07227874930672376,0.5478260869565217,0.018231515399143666,0.6695126561811641,0.006931391589944605,0.18188405797101445,0.01888233945042805,1380.0,0.0
5:1,5,1,0.9,fixed,0.9214975845410628,0.009457377753841457,3.3309178743961354,0.03782951101536619,0.6504830917874397,0.009457377753841529,0.7058770857252625,0.0030234521352680782,0.07850241545893717,0.009457377753841489,1380.0,0.0
5:1,5,1,0.9,uaat_monotone,0.7541062801932368,0.011373195523665279,2.6794685990338163,0.04763539791914868,0.4867149758454106,0.011781399418606037,0.6453612200201014,0.006088027388395866,0.24589371980676322,0.011373195523665273,1380.0,0.0
5:1,5,1,0.9,uncertainty_grid,0.9214975845410628,0.009457377753841457,3.3309178743961354,0.03782951101536619,0.6504830917874397,0.009457377753841529,0.7058770857252625,0.0030234521352680782,0.07850241545893717,0.009457377753841489,1380.0,0.0
