seed,target_coverage,result_dir,cost_ratio,c_wrong,c_defer,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
1,0.44,runs_seed3\e3_iwildcam\seed_01\policy_grid_44,5:1,5,1,uncertainty_grid,0.3345563319389591,0.7456007104297633,0.0160314084737444,0.0479184129645152,0.6654436680610409,42791
1,0.44,runs_seed3\e3_iwildcam\seed_01\policy_grid_44,5:1,5,1,uaat_monotone,0.3772755953354677,0.7594353952934028,0.0273421981257741,0.0724727452923686,0.6227244046645323,42791
1,0.45,runs_seed3\e3_iwildcam\seed_01\policy_grid_45,5:1,5,1,fixed,0.3391133649599215,0.7446659344254632,0.0167558598770769,0.0494107918131073,0.6608866350400785,42791
1,0.45,runs_seed3\e3_iwildcam\seed_01\policy_grid_45,5:1,5,1,uncertainty_grid,0.3391133649599215,0.7446659344254632,0.0167558598770769,0.0494107918131073,0.6608866350400785,42791
1,0.45,runs_seed3\e3_iwildcam\seed_01\policy_grid_45,5:1,5,1,uaat_monotone,0.3804772031501951,0.7632446075109253,0.028744362132224,0.0755481850009213,0.6195227968498049,42791
1,0.46,runs_seed3\e3_iwildcam\seed_01\policy_grid_46,5:1,5,1,fixed,0.3441377859830338,0.7447827814260009,0.0177841134818069,0.0516773054461496,0.6558622140169662,42791
1,0.46,runs_seed3\e3_iwildcam\seed_01\policy_grid_46,5:1,5,1,uncertainty_grid,0.3441377859830338,0.7447827814260009,0.0177841134818069,0.0516773054461496,0.6558622140169662,42791
1,0.46,runs_seed3\e3_iwildcam\seed_01\policy_grid_46,5:1,5,1,uaat_monotone,0.383748919165245,0.7673342525297375,0.0302166343389965,0.0787406369892211,0.616251080834755,42791
1,0.47,runs_seed3\e3_iwildcam\seed_01\policy_grid_47,5:1,5,1,fixed,0.3501203524105536,0.7456941880301933,0.0191629080881493,0.0547323454812441,0.6498796475894464,42791
1,0.47,runs_seed3\e3_iwildcam\seed_01\policy_grid_47,5:1,5,1,uncertainty_grid,0.3501203524105536,0.7456941880301933,0.0191629080881493,0.0547323454812441,0.6498796475894464,42791
1,0.47,runs_seed3\e3_iwildcam\seed_01\policy_grid_47,5:1,5,1,uaat_monotone,0.3876516089831974,0.7728961697553224,0.0321095557477039,0.0828309621413069,0.6123483910168026,42791
1,0.48,runs_seed3\e3_iwildcam\seed_01\policy_grid_48,5:1,5,1,fixed,0.3558224860367834,0.7487555794442756,0.0209156130962118,0.0587810324445028,0.6441775139632165,42791
1,0.48,runs_seed3\e3_iwildcam\seed_01\policy_grid_48,5:1,5,1,uncertainty_grid,0.3559627024374284,0.7493164450468557,0.0210558294968568,0.0591517857142857,0.6440372975625716,42791
1,0.48,runs_seed3\e3_iwildcam\seed_01\policy_grid_48,5:1,5,1,uaat_monotone,0.3910168025986772,0.7782945011801546,0.0338622607557664,0.0866005259383217,0.6089831974013227,42791
1,0.49,runs_seed3\e3_iwildcam\seed_01\policy_grid_49,5:1,5,1,fixed,0.3594681124535533,0.7496669860484682,0.0218270197004042,0.0607203224548173,0.6405318875464467,42791
1,0.49,runs_seed3\e3_iwildcam\seed_01\policy_grid_49,5:1,5,1,uncertainty_grid,0.3594681124535533,0.7496669860484682,0.0218270197004042,0.0607203224548173,0.6405318875464467,42791
1,0.49,runs_seed3\e3_iwildcam\seed_01\policy_grid_49,5:1,5,1,uaat_monotone,0.3944053656142647,0.7825009931995045,0.0353812717627538,0.0897078864727143,0.6055946343857352,42791
1,0.5,runs_seed3\e3_iwildcam\seed_01\policy_grid_50,5:1,5,1,fixed,0.3639316678740856,0.7515131686569607,0.0230889673062092,0.0634431387658126,0.6360683321259144,42791
1,0.5,runs_seed3\e3_iwildcam\seed_01\policy_grid_50,5:1,5,1,uncertainty_grid,0.3639082984739781,0.7515365380570682,0.0230889673062092,0.0634472129463138,0.6360917015260219,42791
1,0.5,runs_seed3\e3_iwildcam\seed_01\policy_grid_50,5:1,5,1,uaat_monotone,0.3981912084316795,0.7885302984272394,0.0373443013717837,0.0937848465285521,0.6018087915683205,42791
1,0.51,runs_seed3\e3_iwildcam\seed_01\policy_grid_51,5:1,5,1,fixed,0.369002827697413,0.7549718398728704,0.0247949335140566,0.0671944268524382,0.630997172302587,42791
1,0.51,runs_seed3\e3_iwildcam\seed_01\policy_grid_51,5:1,5,1,uncertainty_grid,0.369002827697413,0.7549718398728704,0.0247949335140566,0.0671944268524382,0.630997172302587,42791
1,0.51,runs_seed3\e3_iwildcam\seed_01\policy_grid_51,5:1,5,1,uaat_monotone,0.4014395550466219,0.7925264658456218,0.0387932041784487,0.0966352311095587,0.5985604449533781,42791
1,0.52,runs_seed3\e3_iwildcam\seed_01\policy_grid_52,5:1,5,1,fixed,0.3750321329251478,0.7617957047042603,0.0273655675258816,0.0729685942173479,0.6249678670748522,42791
1,0.52,runs_seed3\e3_iwildcam\seed_01\policy_grid_52,5:1,5,1,uncertainty_grid,0.3755696291276203,0.7630109135098502,0.0277161085274941,0.0737975234895152,0.6244303708723797,42791
1,0.52,runs_seed3\e3_iwildcam\seed_01\policy_grid_52,5:1,5,1,uaat_monotone,0.4052955060643593,0.7979014278703467,0.0406393867869411,0.1002710027100271,0.5947044939356407,42791
1,0.53,runs_seed3\e3_iwildcam\seed_01\policy_grid_53,5:1,5,1,uncertainty_grid,0.3815755649552476,0.7700918417424225,0.030333481339534,0.0794953454189123,0.6184244350447524,42791
1,0.53,runs_seed3\e3_iwildcam\seed_01\policy_grid_53,5:1,5,1,fixed,0.3817157813558925,0.7701853193428525,0.030380220139749,0.0795885882208889,0.6182842186441074,42791
1,0.53,runs_seed3\e3_iwildcam\seed_01\policy_grid_53,5:1,5,1,uaat_monotone,0.4094552592834942,0.8040242106985114,0.0426958939964011,0.104274870155813,0.5905447407165059,42791
1,0.54,runs_seed3\e3_iwildcam\seed_01\policy_grid_54,5:1,5,1,fixed,0.3891005117898624,0.7789254749830572,0.0336051973545839,0.0863663663663663,0.6108994882101376,42791
1,0.54,runs_seed3\e3_iwildcam\seed_01\policy_grid_54,5:1,5,1,uncertainty_grid,0.3891005117898624,0.7789254749830572,0.0336051973545839,0.0863663663663663,0.6108994882101376,42791
1,0.54,runs_seed3\e3_iwildcam\seed_01\policy_grid_54,5:1,5,1,uaat_monotone,0.413615012502629,0.8099132995256012,0.044705662405646,0.1080852025538166,0.586384987497371,42791
1,0.55,runs_seed3\e3_iwildcam\seed_01\policy_grid_55,5:1,5,1,fixed,0.3962048094225421,0.7877123694234769,0.0367834357692038,0.0928394479178954,0.6037951905774579,42791
1,0.55,runs_seed3\e3_iwildcam\seed_01\policy_grid_55,5:1,5,1,uncertainty_grid,0.3962048094225421,0.7877123694234769,0.0367834357692038,0.0928394479178954,0.6037951905774579,42791
1,0.55,runs_seed3\e3_iwildcam\seed_01\policy_grid_55,5:1,5,1,uaat_monotone,0.4185225865252039,0.8185599775653759,0.0474165128181159,0.1132949913451337,0.5814774134747961,42791
1,0.56,runs_seed3\e3_iwildcam\seed_01\policy_grid_56,5:1,5,1,uncertainty_grid,0.4028417190530719,0.7972003458671215,0.0400084129840387,0.0993154658313029,0.597158280946928,42791
1,0.56,runs_seed3\e3_iwildcam\seed_01\policy_grid_56,5:1,5,1,fixed,0.4034493234558668,0.7982285994718515,0.0403355845855436,0.0999768303985171,0.5965506765441331,42791
