uaat_target,baseline,baseline_target,uaat_coverage,baseline_coverage,coverage_gap,uaat_risk,baseline_risk,risk_delta_baseline_minus_uaat,risk_reduction_pct,uaat_wrong_auto_rate,baseline_wrong_auto_rate,wrong_auto_delta,uaat_auto_error_rate,baseline_auto_error_rate,uaat_defer_rate,baseline_defer_rate,n
0.61,fixed,0.45,0.433333333,0.418115942,0.0152173913,2.697101449,2.66884058,-0.0282608696,-1.058919359,0.213043478,0.208695652,-0.00434782609,0.491638796,0.499133449,0.566666667,0.581884058,1380
0.61,uncertainty_grid,0.45,0.433333333,0.418115942,0.0152173913,2.697101449,2.66884058,-0.0282608696,-1.058919359,0.213043478,0.208695652,-0.00434782609,0.491638796,0.499133449,0.566666667,0.581884058,1380
0.62,fixed,0.46,0.439130435,0.45,0.0108695652,2.734782609,2.847101449,0.112318841,3.945024179,0.217391304,0.229710145,0.0123188406,0.495049505,0.510466989,0.560869565,0.55,1380
0.62,uncertainty_grid,0.46,0.439130435,0.45,0.0108695652,2.734782609,2.847101449,0.112318841,3.945024179,0.217391304,0.229710145,0.0123188406,0.495049505,0.510466989,0.560869565,0.55,1380
0.63,fixed,0.46,0.446376812,0.45,0.00362318841,2.756521739,2.847101449,0.0905797101,3.181471112,0.220289855,0.229710145,0.00942028986,0.493506494,0.510466989,0.553623188,0.55,1380
0.63,uncertainty_grid,0.46,0.446376812,0.45,0.00362318841,2.756521739,2.847101449,0.0905797101,3.181471112,0.220289855,0.229710145,0.00942028986,0.493506494,0.510466989,0.553623188,0.55,1380
0.64,fixed,0.46,0.452173913,0.45,0.00217391304,2.786956522,2.847101449,0.0601449275,2.112496819,0.223913043,0.229710145,0.00579710145,0.495192308,0.510466989,0.547826087,0.55,1380
0.64,uncertainty_grid,0.46,0.452173913,0.45,0.00217391304,2.786956522,2.847101449,0.0601449275,2.112496819,0.223913043,0.229710145,0.00579710145,0.495192308,0.510466989,0.547826087,0.55,1380
0.65,fixed,0.46,0.453623188,0.45,0.00362318841,2.8,2.847101449,0.0471014493,1.654364978,0.225362319,0.229710145,0.00434782609,0.496805112,0.510466989,0.546376812,0.55,1380
0.65,uncertainty_grid,0.46,0.453623188,0.45,0.00362318841,2.8,2.847101449,0.0471014493,1.654364978,0.225362319,0.229710145,0.00434782609,0.496805112,0.510466989,0.546376812,0.55,1380
0.66,fixed,0.46,0.457971014,0.45,0.00797101449,2.831884058,2.847101449,0.0152173913,0.534487147,0.228985507,0.229710145,0.000724637681,0.5,0.510466989,0.542028986,0.55,1380
0.66,uncertainty_grid,0.46,0.457971014,0.45,0.00797101449,2.831884058,2.847101449,0.0152173913,0.534487147,0.228985507,0.229710145,0.000724637681,0.5,0.510466989,0.542028986,0.55,1380
0.67,fixed,0.46,0.460869565,0.45,0.0108695652,2.857971014,2.847101449,-0.0108695652,-0.381776533,0.231884058,0.229710145,-0.00217391304,0.503144654,0.510466989,0.539130435,0.55,1380
0.67,uncertainty_grid,0.46,0.460869565,0.45,0.0108695652,2.857971014,2.847101449,-0.0108695652,-0.381776533,0.231884058,0.229710145,-0.00217391304,0.503144654,0.510466989,0.539130435,0.55,1380
0.68,fixed,0.47,0.466666667,0.47173913,0.00507246377,2.902898551,2.992028986,0.0891304348,2.978929523,0.236956522,0.246376812,0.00942028986,0.507763975,0.522273425,0.533333333,0.52826087,1380
0.68,uncertainty_grid,0.47,0.466666667,0.47173913,0.00507246377,2.902898551,2.992028986,0.0891304348,2.978929523,0.236956522,0.246376812,0.00942028986,0.507763975,0.522273425,0.533333333,0.52826087,1380
0.69,fixed,0.47,0.474637681,0.47173913,0.00289855072,2.967391304,2.992028986,0.0246376812,0.823443933,0.244202899,0.246376812,0.00217391304,0.514503817,0.522273425,0.525362319,0.52826087,1380
0.69,uncertainty_grid,0.47,0.474637681,0.47173913,0.00289855072,2.967391304,2.992028986,0.0246376812,0.823443933,0.244202899,0.246376812,0.00217391304,0.514503817,0.522273425,0.525362319,0.52826087,1380
0.7,fixed,0.47,0.477536232,0.47173913,0.00579710145,2.986231884,2.992028986,0.00579710145,0.193751514,0.246376812,0.246376812,0,0.515933232,0.522273425,0.522463768,0.52826087,1380
0.7,uncertainty_grid,0.47,0.477536232,0.47173913,0.00579710145,2.986231884,2.992028986,0.00579710145,0.193751514,0.246376812,0.246376812,0,0.515933232,0.522273425,0.522463768,0.52826087,1380
0.71,fixed,0.48,0.486231884,0.484782609,0.00144927536,3.042753623,3.087681159,0.0449275362,1.455057498,0.252898551,0.257246377,0.00434782609,0.520119225,0.53064275,0.513768116,0.515217391,1380
0.71,uncertainty_grid,0.48,0.486231884,0.484782609,0.00144927536,3.042753623,3.087681159,0.0449275362,1.455057498,0.252898551,0.257246377,0.00434782609,0.520119225,0.53064275,0.513768116,0.515217391,1380
0.72,fixed,0.49,0.492028986,0.49057971,0.00144927536,3.073188406,3.103623188,0.0304347826,0.98062106,0.256521739,0.25942029,0.00289855072,0.521354934,0.528803545,0.507971014,0.50942029,1380
0.72,uncertainty_grid,0.49,0.492028986,0.49057971,0.00144927536,3.073188406,3.103623188,0.0304347826,0.98062106,0.256521739,0.25942029,0.00289855072,0.521354934,0.528803545,0.507971014,0.50942029,1380
0.73,fixed,0.5,0.498550725,0.499275362,0.000724637681,3.088405797,3.152898551,0.0644927536,2.04550678,0.258695652,0.265217391,0.00652173913,0.518895349,0.531204644,0.501449275,0.500724638,1380
0.73,uncertainty_grid,0.5,0.498550725,0.499275362,0.000724637681,3.088405797,3.152898551,0.0644927536,2.04550678,0.258695652,0.265217391,0.00652173913,0.518895349,0.531204644,0.501449275,0.500724638,1380
0.74,fixed,0.5,0.500724638,0.499275362,0.00144927536,3.100724638,3.152898551,0.052173913,1.654792002,0.260144928,0.265217391,0.00507246377,0.519536903,0.531204644,0.499275362,0.500724638,1380
0.74,uncertainty_grid,0.5,0.500724638,0.499275362,0.00144927536,3.100724638,3.152898551,0.052173913,1.654792002,0.260144928,0.265217391,0.00507246377,0.519536903,0.531204644,0.499275362,0.500724638,1380
0.75,fixed,0.51,0.510869565,0.508695652,0.00217391304,3.177536232,3.215942029,0.0384057971,1.194231636,0.26884058,0.272463768,0.00362318841,0.526241135,0.535612536,0.489130435,0.491304348,1380
0.75,uncertainty_grid,0.51,0.510869565,0.508695652,0.00217391304,3.177536232,3.215942029,0.0384057971,1.194231636,0.26884058,0.272463768,0.00362318841,0.526241135,0.535612536,0.489130435,0.491304348,1380
0.76,fixed,0.52,0.518115942,0.524637681,0.00652173913,3.22826087,3.330434783,0.102173913,3.067885117,0.274637681,0.285507246,0.0108695652,0.53006993,0.544198895,0.481884058,0.475362319,1380
0.76,uncertainty_grid,0.52,0.518115942,0.524637681,0.00652173913,3.22826087,3.330434783,0.102173913,3.067885117,0.274637681,0.285507246,0.0108695652,0.53006993,0.544198895,0.481884058,0.475362319,1380
0.77,fixed,0.52,0.523188406,0.524637681,0.00144927536,3.25942029,3.330434783,0.0710144928,2.132288947,0.27826087,0.285507246,0.00724637681,0.531855956,0.544198895,0.476811594,0.475362319,1380
0.77,uncertainty_grid,0.52,0.523188406,0.524637681,0.00144927536,3.25942029,3.330434783,0.0710144928,2.132288947,0.27826087,0.285507246,0.00724637681,0.531855956,0.544198895,0.476811594,0.475362319,1380
0.78,fixed,0.54,0.53115942,0.534057971,0.00289855072,3.30942029,3.415217391,0.105797101,3.097814555,0.284057971,0.294927536,0.0108695652,0.53478854,0.552238806,0.46884058,0.465942029,1380
0.78,uncertainty_grid,0.54,0.53115942,0.534057971,0.00289855072,3.30942029,3.415217391,0.105797101,3.097814555,0.284057971,0.294927536,0.0108695652,0.53478854,0.552238806,0.46884058,0.465942029,1380
0.79,fixed,0.55,0.541304348,0.548550725,0.00724637681,3.378985507,3.523913043,0.144927536,4.112687641,0.292028986,0.307246377,0.0152173913,0.539491299,0.56010568,0.458695652,0.451449275,1380
0.79,uncertainty_grid,0.55,0.541304348,0.548550725,0.00724637681,3.378985507,3.523913043,0.144927536,4.112687641,0.292028986,0.307246377,0.0152173913,0.539491299,0.56010568,0.458695652,0.451449275,1380
0.8,fixed,0.55,0.549275362,0.548550725,0.000724637681,3.436231884,3.523913043,0.0876811594,2.488176023,0.298550725,0.307246377,0.00869565217,0.54353562,0.56010568,0.450724638,0.451449275,1380
0.8,uncertainty_grid,0.55,0.549275362,0.548550725,0.000724637681,3.436231884,3.523913043,0.0876811594,2.488176023,0.298550725,0.307246377,0.00869565217,0.54353562,0.56010568,0.450724638,0.451449275,1380
0.81,fixed,0.56,0.564492754,0.562318841,0.00217391304,3.551449275,3.64057971,0.0891304348,2.448248408,0.311594203,0.320289855,0.00869565217,0.55198973,0.569587629,0.435507246,0.437681159,1380
0.81,uncertainty_grid,0.56,0.564492754,0.562318841,0.00217391304,3.551449275,3.64057971,0.0891304348,2.448248408,0.311594203,0.320289855,0.00869565217,0.55198973,0.569587629,0.435507246,0.437681159,1380
0.82,fixed,0.58,0.575362319,0.576811594,0.00144927536,3.627536232,3.756521739,0.128985507,3.433641975,0.320289855,0.333333333,0.0130434783,0.556675063,0.577889447,0.424637681,0.423188406,1380
0.82,uncertainty_grid,0.58,0.575362319,0.576811594,0.00144927536,3.627536232,3.756521739,0.128985507,3.433641975,0.320289855,0.333333333,0.0130434783,0.556675063,0.577889447,0.424637681,0.423188406,1380
0.83,fixed,0.6,0.586956522,0.589855072,0.00289855072,3.688405797,3.866666667,0.17826087,4.610194903,0.327536232,0.345652174,0.018115942,0.558024691,0.585995086,0.413043478,0.410144928,1380
0.83,uncertainty_grid,0.6,0.586956522,0.589855072,0.00289855072,3.688405797,3.866666667,0.17826087,4.610194903,0.327536232,0.345652174,0.018115942,0.558024691,0.585995086,0.413043478,0.410144928,1380
0.84,fixed,0.6,0.593478261,0.589855072,0.00362318841,3.747101449,3.866666667,0.119565217,3.092203898,0.334057971,0.345652174,0.0115942029,0.562881563,0.585995086,0.406521739,0.410144928,1380
0.84,uncertainty_grid,0.6,0.593478261,0.589855072,0.00362318841,3.747101449,3.866666667,0.119565217,3.092203898,0.334057971,0.345652174,0.0115942029,0.562881563,0.585995086,0.406521739,0.410144928,1380
0.85,fixed,0.61,0.602173913,0.606521739,0.00434782609,3.832608696,4.016666667,0.184057971,4.582356125,0.343478261,0.362318841,0.0188405797,0.570397112,0.597371565,0.397826087,0.393478261,1380
0.85,uncertainty_grid,0.61,0.602173913,0.606521739,0.00434782609,3.832608696,4.016666667,0.184057971,4.582356125,0.343478261,0.362318841,0.0188405797,0.570397112,0.597371565,0.397826087,0.393478261,1380
