target_coverage,result_dir,policy,coverage,risk,wrong_auto_rate,auto_error_rate,defer_rate,n
0.74,runs\e2_mvtec_ad\policy_grid_74,uncertainty_grid,0.7268115942028985,4.947101449275362,0.4673913043478261,0.6430707876370887,0.2731884057971014,1380
0.75,runs\e2_mvtec_ad\policy_grid_75,uaat_monotone,0.5108695652173914,3.1775362318840576,0.2688405797101449,0.526241134751773,0.4891304347826086,1380
0.75,runs\e2_mvtec_ad\policy_grid_75,fixed,0.7318840579710145,4.985507246376812,0.4717391304347826,0.6445544554455446,0.2681159420289855,1380
0.75,runs\e2_mvtec_ad\policy_grid_75,uncertainty_grid,0.7318840579710145,4.985507246376812,0.4717391304347826,0.6445544554455446,0.2681159420289855,1380
0.76,runs\e2_mvtec_ad\policy_grid_76,uaat_monotone,0.5181159420289855,3.2282608695652173,0.2746376811594203,0.5300699300699301,0.4818840579710145,1380
0.76,runs\e2_mvtec_ad\policy_grid_76,fixed,0.744927536231884,5.07391304347826,0.4818840579710144,0.646887159533074,0.255072463768116,1380
0.76,runs\e2_mvtec_ad\policy_grid_76,uncertainty_grid,0.744927536231884,5.07391304347826,0.4818840579710144,0.646887159533074,0.255072463768116,1380
0.77,runs\e2_mvtec_ad\policy_grid_77,uaat_monotone,0.5231884057971015,3.2594202898550724,0.2782608695652174,0.5318559556786704,0.4768115942028985,1380
0.77,runs\e2_mvtec_ad\policy_grid_77,fixed,0.7557971014492754,5.135507246376812,0.4891304347826087,0.6471716203259827,0.2442028985507246,1380
0.77,runs\e2_mvtec_ad\policy_grid_77,uncertainty_grid,0.7557971014492754,5.135507246376812,0.4891304347826087,0.6471716203259827,0.2442028985507246,1380
0.78,runs\e2_mvtec_ad\policy_grid_78,uaat_monotone,0.5311594202898551,3.3094202898550726,0.2840579710144927,0.5347885402455662,0.4688405797101449,1380
0.78,runs\e2_mvtec_ad\policy_grid_78,fixed,0.763768115942029,5.192753623188406,0.4956521739130435,0.6489563567362429,0.236231884057971,1380
0.78,runs\e2_mvtec_ad\policy_grid_78,uncertainty_grid,0.763768115942029,5.192753623188406,0.4956521739130435,0.6489563567362429,0.236231884057971,1380
0.79,runs\e2_mvtec_ad\policy_grid_79,uaat_monotone,0.5413043478260869,3.378985507246377,0.2920289855072464,0.5394912985274432,0.458695652173913,1380
0.79,runs\e2_mvtec_ad\policy_grid_79,fixed,0.7659420289855072,5.212318840579711,0.4978260869565217,0.6499526963103122,0.2340579710144927,1380
0.79,runs\e2_mvtec_ad\policy_grid_79,uncertainty_grid,0.7659420289855072,5.212318840579711,0.4978260869565217,0.6499526963103122,0.2340579710144927,1380
0.8,runs\e2_mvtec_ad\policy_grid_80,uaat_monotone,0.5492753623188406,3.436231884057971,0.2985507246376812,0.5435356200527705,0.4507246376811594,1380
0.8,runs\e2_mvtec_ad\policy_grid_80,fixed,0.7666666666666667,5.218840579710145,0.4985507246376812,0.6502835538752363,0.2333333333333332,1380
0.8,runs\e2_mvtec_ad\policy_grid_80,uncertainty_grid,0.7666666666666667,5.218840579710145,0.4985507246376812,0.6502835538752363,0.2333333333333332,1380
0.81,runs\e2_mvtec_ad\policy_grid_81,uaat_monotone,0.5644927536231884,3.551449275362319,0.3115942028985507,0.55198973042362,0.4355072463768116,1380
0.81,runs\e2_mvtec_ad\policy_grid_81,fixed,0.7739130434782608,5.284057971014493,0.5057971014492754,0.653558052434457,0.2260869565217391,1380
0.81,runs\e2_mvtec_ad\policy_grid_81,uncertainty_grid,0.7739130434782608,5.284057971014493,0.5057971014492754,0.653558052434457,0.2260869565217391,1380
0.82,runs\e2_mvtec_ad\policy_grid_82,uaat_monotone,0.5753623188405798,3.627536231884058,0.3202898550724637,0.5566750629722922,0.4246376811594202,1380
0.82,runs\e2_mvtec_ad\policy_grid_82,fixed,0.7797101449275362,5.336231884057971,0.5115942028985507,0.6561338289962825,0.2202898550724638,1380
0.82,runs\e2_mvtec_ad\policy_grid_82,uncertainty_grid,0.7797101449275362,5.336231884057971,0.5115942028985507,0.6561338289962825,0.2202898550724638,1380
0.83,runs\e2_mvtec_ad\policy_grid_83,uaat_monotone,0.5869565217391305,3.688405797101449,0.3275362318840579,0.5580246913580247,0.4130434782608695,1380
0.83,runs\e2_mvtec_ad\policy_grid_83,fixed,0.7862318840579711,5.38768115942029,0.5173913043478261,0.6580645161290323,0.2137681159420289,1380
0.83,runs\e2_mvtec_ad\policy_grid_83,uncertainty_grid,0.7862318840579711,5.38768115942029,0.5173913043478261,0.6580645161290323,0.2137681159420289,1380
0.84,runs\e2_mvtec_ad\policy_grid_84,uaat_monotone,0.5934782608695652,3.7471014492753625,0.3340579710144927,0.5628815628815629,0.4065217391304347,1380
0.84,runs\e2_mvtec_ad\policy_grid_84,fixed,0.8101449275362319,5.588405797101449,0.5398550724637681,0.6663685152057245,0.1898550724637681,1380
0.84,runs\e2_mvtec_ad\policy_grid_84,uncertainty_grid,0.8101449275362319,5.588405797101449,0.5398550724637681,0.6663685152057245,0.1898550724637681,1380
0.85,runs\e2_mvtec_ad\policy_grid_85,uaat_monotone,0.6021739130434782,3.832608695652174,0.3434782608695652,0.5703971119133574,0.3978260869565218,1380
0.85,runs\e2_mvtec_ad\policy_grid_85,fixed,0.8166666666666667,5.639855072463768,0.5456521739130434,0.6681455190771961,0.1833333333333333,1380
0.85,runs\e2_mvtec_ad\policy_grid_85,uncertainty_grid,0.8166666666666667,5.639855072463768,0.5456521739130434,0.6681455190771961,0.1833333333333333,1380
0.86,runs\e2_mvtec_ad\policy_grid_86,uaat_monotone,0.6130434782608696,3.923188405797101,0.3536231884057971,0.5768321513002365,0.3869565217391304,1380
0.86,runs\e2_mvtec_ad\policy_grid_86,fixed,0.827536231884058,5.73768115942029,0.5565217391304348,0.6725043782837128,0.172463768115942,1380
0.86,runs\e2_mvtec_ad\policy_grid_86,uncertainty_grid,0.827536231884058,5.73768115942029,0.5565217391304348,0.6725043782837128,0.172463768115942,1380
0.87,runs\e2_mvtec_ad\policy_grid_87,uaat_monotone,0.6239130434782608,4.021014492753623,0.3644927536231884,0.5842044134727061,0.3760869565217392,1380
0.87,runs\e2_mvtec_ad\policy_grid_87,fixed,0.8492753623188406,5.933333333333334,0.5782608695652174,0.6808873720136519,0.1507246376811594,1380
0.87,runs\e2_mvtec_ad\policy_grid_87,uncertainty_grid,0.8492753623188406,5.933333333333334,0.5782608695652174,0.6808873720136519,0.1507246376811594,1380
0.88,runs\e2_mvtec_ad\policy_grid_88,uaat_monotone,0.6297101449275362,4.065942028985507,0.3695652173913043,0.5868814729574223,0.3702898550724638,1380
0.88,runs\e2_mvtec_ad\policy_grid_88,fixed,0.8608695652173913,6.03768115942029,0.5898550724637681,0.6851851851851852,0.1391304347826086,1380
0.88,runs\e2_mvtec_ad\policy_grid_88,uncertainty_grid,0.8608695652173913,6.03768115942029,0.5898550724637681,0.6851851851851852,0.1391304347826086,1380
0.89,runs\e2_mvtec_ad\policy_grid_89,uaat_monotone,0.636231884057971,4.12463768115942,0.3760869565217391,0.591116173120729,0.3637681159420289,1380
0.89,runs\e2_mvtec_ad\policy_grid_89,fixed,0.8659420289855072,6.083333333333334,0.5949275362318841,0.6870292887029289,0.1340579710144928,1380
0.89,runs\e2_mvtec_ad\policy_grid_89,uncertainty_grid,0.8659420289855072,6.083333333333334,0.5949275362318841,0.6870292887029289,0.1340579710144928,1380
0.9,runs\e2_mvtec_ad\policy_grid_90,uaat_monotone,0.6456521739130435,4.209420289855073,0.3855072463768116,0.5970819304152637,0.3543478260869565,1380
0.9,runs\e2_mvtec_ad\policy_grid_90,fixed,0.8753623188405797,6.168115942028985,0.6043478260869565,0.6903973509933775,0.1246376811594203,1380
0.9,runs\e2_mvtec_ad\policy_grid_90,uncertainty_grid,0.8753623188405797,6.168115942028985,0.6043478260869565,0.6903973509933775,0.1246376811594203,1380
0.91,runs\e2_mvtec_ad\policy_grid_91,uaat_monotone,0.65,4.248550724637681,0.3898550724637681,0.5997770345596433,0.35,1380
0.91,runs\e2_mvtec_ad\policy_grid_91,fixed,0.8869565217391304,6.272463768115942,0.6159420289855072,0.6944444444444444,0.1130434782608695,1380
0.91,runs\e2_mvtec_ad\policy_grid_91,uncertainty_grid,0.8869565217391304,6.272463768115942,0.6159420289855072,0.6944444444444444,0.1130434782608695,1380
0.92,runs\e2_mvtec_ad\policy_grid_92,uaat_monotone,0.658695652173913,4.319565217391304,0.3978260869565217,0.6039603960396039,0.341304347826087,1380
0.92,runs\e2_mvtec_ad\policy_grid_92,fixed,0.9065217391304348,6.4485507246376805,0.6355072463768116,0.701039168665068,0.0934782608695652,1380
0.92,runs\e2_mvtec_ad\policy_grid_92,uncertainty_grid,0.9065217391304348,6.4485507246376805,0.6355072463768116,0.701039168665068,0.0934782608695652,1380
0.93,runs\e2_mvtec_ad\policy_grid_93,uaat_monotone,0.6644927536231884,4.364492753623189,0.4028985507246377,0.6063249727371864,0.3355072463768116,1380
0.93,runs\e2_mvtec_ad\policy_grid_93,fixed,0.9268115942028986,6.631159420289856,0.6557971014492754,0.7075840500390931,0.0731884057971014,1380
0.93,runs\e2_mvtec_ad\policy_grid_93,uncertainty_grid,0.9268115942028986,6.631159420289856,0.6557971014492754,0.7075840500390931,0.0731884057971014,1380
0.94,runs\e2_mvtec_ad\policy_grid_94,uaat_monotone,0.6695652173913044,4.410144927536232,0.4079710144927536,0.6093073593073594,0.3304347826086956,1380
0.94,runs\e2_mvtec_ad\policy_grid_94,fixed,0.9521739130434784,6.8594202898550725,0.6811594202898551,0.715372907153729,0.0478260869565216,1380
0.94,runs\e2_mvtec_ad\policy_grid_94,uncertainty_grid,0.9521739130434784,6.8594202898550725,0.6811594202898551,0.715372907153729,0.0478260869565216,1380
0.95,runs\e2_mvtec_ad\policy_grid_95,uaat_monotone,0.6760869565217391,4.468840579710145,0.4144927536231884,0.6130760986066452,0.3239130434782609,1380
0.95,runs\e2_mvtec_ad\policy_grid_95,fixed,0.9681159420289857,7.0028985507246375,0.6971014492753623,0.7200598802395209,0.0318840579710144,1380
0.95,runs\e2_mvtec_ad\policy_grid_95,uncertainty_grid,0.9681159420289857,7.0028985507246375,0.6971014492753623,0.7200598802395209,0.0318840579710144,1380
